category,sub_category,sales,profit,avg_discount,margin_pct
Furniture,Tables,206965.532,-17725.4811,0.2612852664576803,-8.564460433923848
Furniture,Bookcases,114879.9963,-3472.556,0.211140350877193,-3.0227682032054526
Office Supplies,Supplies,46673.538,-1189.0995,0.0768421052631579,-2.5476952272184725
Office Supplies,Fasteners,3024.28,949.5182,0.08202764976958525,31.39650429193064
Technology,Machines,189238.631,3384.7569,0.3060869565217391,1.788618360909618
Office Supplies,Labels,12486.312,5546.254,0.06868131868131869,44.41867222283089
Office Supplies,Art,27118.792,6527.787,0.07487437185929649,24.071083254740845
Office Supplies,Envelopes,16476.402,6964.1767,0.08031496062992127,42.26758184220075
Furniture,Furnishings,91705.164,13059.1436,0.13834900731452457,14.240357936658832
Office Supplies,Appliances,107532.16100000001,18138.005400000002,0.1665236051502146,16.86751687246386
Office Supplies,Storage,223843.608,21278.8264,0.07470449172576832,9.506113035847779
Furniture,Chairs,328167.73099999997,26602.2251,0.16996753246753246,8.106289128104434
Office Supplies,Binders,203412.733,30221.7633,0.3722915298752462,14.857360625502238
Office Supplies,Paper,78479.206,34053.5693,0.07489051094890511,43.391837195702514
Technology,Accessories,167380.318,41936.6357,0.07845161290322582,25.054699501765793
Technology,Phones,330007.054,44515.7306,0.15455568053993252,13.489326988749761
Technology,Copiers,149528.03,55617.8249,0.16176470588235295,37.195584600425754
