product_name,sub_category,sales,profit,avg_discount_pct
Cubify CubeX 3D Printer Double Head Print,Machines,11099.96,-8879.97,53.3
Lexmark MX611dhe Monochrome Laser Printer,Machines,16829.9,-4589.97,40.0
Cubify CubeX 3D Printer Triple Head Print,Machines,7999.98,-3839.99,50.0
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables,9917.64,-2876.12,28.0
Bush Advantage Collection Racetrack Conference Table,Tables,9544.73,-1934.4,35.0
GBC DocuBind P400 Electric Binding System,Binders,17965.07,-1878.17,45.0
Cisco TelePresence System EX90 Videoconferencing Unit,Machines,22638.48,-1811.08,50.0
Martin Yale Chadless Opener Electric Letter Opener,Supplies,16656.2,-1299.18,10.0
Balt Solid Wood Round Tables,Tables,6518.75,-1201.06,20.0
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,1706.25,-1148.44,48.3
