category,sub_category,sales,profit,margin_pct,avg_discount_pct
Furniture,Tables,206965.53,-17725.48,-8.56,26.1
Furniture,Bookcases,114880.0,-3472.56,-3.02,21.1
Office Supplies,Supplies,46673.54,-1189.1,-2.55,7.7
Office Supplies,Fasteners,3024.28,949.52,31.4,8.2
Technology,Machines,189238.63,3384.76,1.79,30.6
Office Supplies,Labels,12486.31,5546.25,44.42,6.9
Office Supplies,Art,27118.79,6527.79,24.07,7.5
Office Supplies,Envelopes,16476.4,6964.18,42.27,8.0
Furniture,Furnishings,91705.16,13059.14,14.24,13.8
Office Supplies,Appliances,107532.16,18138.01,16.87,16.7
Office Supplies,Storage,223843.61,21278.83,9.51,7.5
Furniture,Chairs,328167.73,26602.23,8.11,17.0
Office Supplies,Binders,203412.73,30221.76,14.86,37.2
Office Supplies,Paper,78479.21,34053.57,43.39,7.5
Technology,Accessories,167380.32,41936.64,25.05,7.8
Technology,Phones,330007.05,44515.73,13.49,15.5
Technology,Copiers,149528.03,55617.82,37.2,16.2
