order_year,year_month,monthly_sales,running_total_ytd
2015,2015-01,14236.9,14236.9
2015,2015-02,4519.89,18756.79
2015,2015-03,55691.01,74447.8
2015,2015-04,28013.97,102461.77
2015,2015-05,23648.29,126110.06
2015,2015-06,34595.13,160705.18
2015,2015-07,33946.39,194651.58
2015,2015-08,27909.47,222561.05
2015,2015-09,81777.35,304338.4
2015,2015-10,31453.39,335791.79
2015,2015-11,78628.72,414420.51
2015,2015-12,69545.62,483966.13
2016,2016-01,18174.08,18174.08
2016,2016-02,11951.41,30125.49
2016,2016-03,38726.25,68851.74
2016,2016-04,34195.21,103046.95
2016,2016-05,30131.69,133178.63
2016,2016-06,24797.29,157975.93
2016,2016-07,28765.33,186741.25
2016,2016-08,36898.33,223639.58
2016,2016-09,64595.92,288235.5
2016,2016-10,31404.92,319640.42
2016,2016-11,75972.56,395612.99
2016,2016-12,74919.52,470532.51
2017,2017-01,18542.49,18542.49
2017,2017-02,22978.82,41521.31
2017,2017-03,51715.88,93237.18
2017,2017-04,38750.04,131987.22
2017,2017-05,56987.73,188974.95
2017,2017-06,40344.53,229319.48
2017,2017-07,39261.96,268581.45
2017,2017-08,31115.37,299696.82
2017,2017-09,73410.02,373106.84
2017,2017-10,59687.75,432794.59
2017,2017-11,79411.97,512206.55
2017,2017-12,96999.04,609205.6
2018,2018-01,43971.37,43971.37
2018,2018-02,20301.13,64272.51
2018,2018-03,58872.35,123144.86
2018,2018-04,36521.54,159666.4
2018,2018-05,44261.11,203927.51
2018,2018-06,52981.73,256909.23
2018,2018-07,45264.42,302173.65
2018,2018-08,63120.89,365294.54
2018,2018-09,87866.65,453161.19
2018,2018-10,77776.92,530938.11
2018,2018-11,118447.82,649385.94
2018,2018-12,83829.32,733215.26
