product_name,category,sub_category,sales,profit,margin_pct,units
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.82,25199.93,40.91,20
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.38,7753.04,28.24,31
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.69,6983.88,37.07,38
Canon PC1060 Personal Laser Copier,Technology,Copiers,11619.83,4570.93,39.34,19
Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,13756.54,4425.34,32.17,60
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18374.9,4094.98,22.29,12
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7699.89,3772.95,49.0,11
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14299.89,3717.97,26.0,11
Ibico EPK-21 Electric Binding System,Office Supplies,Binders,15875.92,3345.28,21.07,13
Zebra ZM400 Thermal Label Printer,Technology,Machines,6965.7,3343.54,48.0,6
