product_name,sub_category,sales,profit,orders
Stockwell Gold Paper Clips,Fasteners,8.1,3.4,2
Newell 308,Art,8.4,2.1,2
Kleencut Forged Office Shears by Acme United Corporation,Supplies,9.57,2.29,2
Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Appliances,9.77,0.44,4
Staples in misc. colors,Art,9.92,3.47,2
Letter Slitter,Supplies,10.08,0.3,2
Newell 337,Art,10.5,1.18,2
Storex Flexible Poly Binders with Double Pockets,Binders,10.82,-2.01,3
Computer Printout Index Tabs,Binders,11.09,-2.02,4
Acco Economy Flexible Poly Round Ring Binder,Binders,11.48,-5.74,4
