product_name,category,sales,profit,margin_pct,avg_discount_pct,health_flag
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,22638.48,-1811.08,-8.0,50.0,Loss making
HON 5400 Series Task Chairs for Big and Tall,Furniture,21870.58,0.0,0.0,20.0,Thin margin
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,19024.5,760.98,4.0,52.22,Thin margin
GBC DocuBind P400 Electric Binding System,Office Supplies,17965.07,-1878.17,-10.45,45.0,Loss making
High Speed Automatic Electric Letter Opener,Office Supplies,17030.31,-262.0,-1.54,6.67,Loss making
Lexmark MX611dhe Monochrome Laser Printer,Technology,16829.9,-4589.97,-27.27,40.0,Loss making
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,16656.2,-1299.18,-7.8,10.0,Loss making
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,15610.97,-669.54,-4.29,23.4,Loss making
Bretford Rectangular Conference Table Tops,Furniture,12995.29,-327.23,-2.52,24.58,Loss making
DMI Eclipse Executive Suite Bookcases,Furniture,12921.64,19.69,0.15,16.0,Thin margin
Cubify CubeX 3D Printer Double Head Print,Technology,11099.96,-8879.97,-80.0,53.33,Loss making
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,9917.64,-2876.12,-29.0,28.0,Loss making
Tennsco Double-Tier Lockers,Office Supplies,9630.86,429.79,4.46,10.0,Thin margin
Bush Advantage Collection Racetrack Conference Table,Furniture,9544.73,-1934.4,-20.27,35.0,Loss making
Tennsco Single-Tier Lockers,Office Supplies,9158.3,-825.75,-9.02,7.5,Loss making
