quarter,sales,profit,prev_quarter,qoq_growth_pct
2015-Q1,74447.8,3811.23,,
2015-Q2,86257.39,11216.13,74447.8,15.86
2015-Q3,143633.21,12804.72,86257.39,66.52
2015-Q4,179627.73,21723.95,143633.21,25.06
2016-Q1,68851.74,9264.94,179627.73,-61.67
2016-Q2,89124.19,12190.92,68851.74,29.44
2016-Q3,130259.58,16853.62,89124.19,46.16
2016-Q4,182297.01,23309.12,130259.58,39.95
2017-Q1,93237.18,11441.37,182297.01,-48.85
2017-Q2,136082.3,16390.34,93237.18,45.95
2017-Q3,143787.36,15823.6,136082.3,5.66
2017-Q4,236098.75,38139.86,143787.36,64.2
2018-Q1,123144.86,23506.2,236098.75,-47.84
2018-Q2,133764.37,15499.21,123144.86,8.62
2018-Q3,196251.96,26985.13,133764.37,46.71
2018-Q4,280054.07,27448.73,196251.96,42.7
