year_month,sales,rolling_3m_avg,rolling_6m_avg
2015-01,14236.9,14236.9,14236.9
2015-02,4519.89,9378.4,9378.4
2015-03,55691.01,24815.93,24815.93
2015-04,28013.97,29408.29,25615.44
2015-05,23648.29,35784.42,25222.01
2015-06,34595.13,28752.46,26784.2
2015-07,33946.39,30729.94,30069.11
2015-08,27909.47,32150.33,33967.38
2015-09,81777.35,47877.74,38315.1
2015-10,31453.39,47046.74,38888.34
2015-11,78628.72,63953.15,48051.74
2015-12,69545.62,59875.91,53876.82
2016-01,18174.08,55449.47,51248.11
2016-02,11951.41,33223.7,48588.43
2016-03,38726.25,22950.58,41413.25
2016-04,34195.21,28290.96,41870.22
2016-05,30131.69,34351.05,33787.38
2016-06,24797.29,29708.06,26329.32
2016-07,28765.33,27898.1,28094.53
2016-08,36898.33,30153.65,32252.35
2016-09,64595.92,43419.86,36563.96
2016-10,31404.92,44299.72,36098.91
2016-11,75972.56,57324.47,43739.06
2016-12,74919.52,60765.67,52092.76
2017-01,18542.49,56478.19,50388.96
2017-02,22978.82,38813.61,48069.04
2017-03,51715.88,31079.06,45922.36
2017-04,38750.04,37814.91,47146.55
2017-05,56987.73,49151.22,43982.41
2017-06,40344.53,45360.77,38219.92
2017-07,39261.96,45531.41,41673.16
2017-08,31115.37,36907.29,43029.25
2017-09,73410.02,47929.12,46644.94
2017-10,59687.75,54737.71,50134.56
2017-11,79411.97,70836.58,53871.93
2017-12,96999.04,78699.59,63314.35
2018-01,43971.37,73460.79,64099.25
2018-02,20301.13,53757.18,62296.88
2018-03,58872.35,41048.28,59873.93
2018-04,36521.54,38565.01,56012.9
2018-05,44261.11,46551.67,50154.42
2018-06,52981.73,44588.13,42818.21
2018-07,45264.42,47502.42,43033.71
2018-08,63120.89,53789.01,50170.34
2018-09,87866.65,65417.32,55002.72
2018-10,77776.92,76254.82,61878.62
2018-11,118447.82,94697.13,74243.07
2018-12,83829.32,93351.35,79384.34
