category,product_name,sales,profit,sales_rank,profit_rank,rank_gap
Furniture,HON 5400 Series Task Chairs for Big and Tall,21870.58,0.0,1,251,250
Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,-669.54,2,359,357
Furniture,Bretford Rectangular Conference Table Tops,12995.29,-327.23,3,333,330
Furniture,Global Troy Executive Leather Low-Back Tilter,12975.38,951.86,4,12,8
Furniture,DMI Eclipse Executive Suite Bookcases,12921.64,19.69,5,218,213
Office Supplies,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38,7753.04,1,1,0
Office Supplies,GBC DocuBind TL300 Electric Binding System,19823.48,2233.51,2,6,4
Office Supplies,GBC Ibimaster 500 Manual ProClick Binding System,19024.5,760.98,3,29,26
Office Supplies,GBC DocuBind P400 Electric Binding System,17965.07,-1878.17,4,1043,1039
Office Supplies,High Speed Automatic Electric Letter Opener,17030.31,-262.0,5,1032,1027
Technology,Canon imageCLASS 2200 Advanced Copier,61599.82,25199.93,1,1,0
Technology,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.08,2,400,398
Technology,Hewlett Packard LaserJet 3310 Copier,18839.69,6983.88,3,2,-1
Technology,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.9,4094.98,4,5,1
Technology,Lexmark MX611dhe Monochrome Laser Printer,16829.9,-4589.97,5,402,397
